<meta message track_name name='Sonata No.14 in cis-Moll, Op. 27/2 - 1. Satz' time=0>
<meta message track_name name='Mondscheinsonate; der Gräfin Giulietta Guiccardi gewidmet' time=0>
<meta message copyright text='Coypright Bernd Krueger http://www.piano-midi.de' time=0>
<meta message text text='Ludwig van Beethoven' time=0>
<meta message text text='Fertiggestellt am 25.10.97\n' time=0>
<meta message text text="Pan's auf Standard am 18.1.98\n" time=0>
<meta message text text='Tempoänderungen am 31.1.98\n' time=0>
<meta message text text='Update am 17.8.99\n' time=0>
<meta message text text='Update am 8.1.00\n' time=0>
<meta message text text='Update am 27.10.01\n' time=0>
<meta message text text='Normierung: 23.12.2002\n' time=0>
<meta message text text='Update am 3.6.2012\n' time=0>
<meta message text text='Dauer: 6:02 Minuten\n' time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='E' time=0>
<meta message set_tempo tempo=1212366 time=0>
<meta message marker text='Adagio Sostenuto' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=56 velocity=33 time=0
control_change channel=0 control=91 value=127 time=0
<meta message text text='bdca426d104a26ac9dcb070447587523' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=37 velocity=35 time=0
note_on channel=0 note=49 velocity=35 time=0
control_change channel=0 control=64 value=127 time=113
note_on channel=0 note=56 velocity=0 time=47
note_on channel=0 note=61 velocity=26 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=26 time=0
<meta message set_tempo tempo=1196649 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=33 time=0
<meta message set_tempo tempo=1184366 time=120>
note_on channel=0 note=56 velocity=0 time=40
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1172333 time=80>
note_on channel=0 note=61 velocity=0 time=80
note_on channel=0 note=64 velocity=26 time=0
<meta message set_tempo tempo=1160542 time=40>
<meta message set_tempo tempo=1148985 time=120>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=32 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=26 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=26 time=0
note_on channel=0 note=64 velocity=0 time=160
note_on channel=0 note=56 velocity=35 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1241979 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=26 time=0
<meta message set_tempo tempo=1179014 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=49 velocity=0 time=0
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=56 velocity=33 time=0
note_on channel=0 note=35 velocity=35 time=0
note_on channel=0 note=47 velocity=35 time=0
control_change channel=0 control=64 value=0 time=10
control_change channel=0 control=64 value=127 time=117
note_on channel=0 note=56 velocity=0 time=33
note_on channel=0 note=61 velocity=26 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1158972 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=30 time=0
note_on channel=0 note=56 velocity=0 time=160
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1142857 time=80>
note_on channel=0 note=61 velocity=0 time=80
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1176471 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=33 time=0
<meta message set_tempo tempo=1132075 time=160>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=61 velocity=26 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1165049 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=56 velocity=32 time=0
<meta message set_tempo tempo=1132075 time=160>
note_on channel=0 note=56 velocity=0 time=0
note_on channel=0 note=61 velocity=26 time=0
<meta message set_tempo tempo=1276867 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=23 time=0
<meta message set_tempo tempo=1209190 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=47 velocity=0 time=0
note_on channel=0 note=35 velocity=0 time=0
note_on channel=0 note=57 velocity=45 time=0
note_on channel=0 note=45 velocity=41 time=0
note_on channel=0 note=33 velocity=41 time=0
control_change channel=0 control=64 value=0 time=10
<meta message set_tempo tempo=1209190 time=10>
control_change channel=0 control=64 value=127 time=77
<meta message set_tempo tempo=1196649 time=43>
note_on channel=0 note=57 velocity=0 time=20
note_on channel=0 note=61 velocity=38 time=0
<meta message set_tempo tempo=1184366 time=100>
note_on channel=0 note=61 velocity=0 time=60
note_on channel=0 note=64 velocity=38 time=0
<meta message set_tempo tempo=1172333 time=60>
<meta message set_tempo tempo=1160542 time=100>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=160
note_on channel=0 note=61 velocity=32 time=0
<meta message set_tempo tempo=1336005 time=160>
note_on channel=0 note=61 velocity=0 time=0
note_on channel=0 note=64 velocity=32 time=0
<meta message set_tempo tempo=1209190 time=160>
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=33 velocity=0 time=0
note_on channel=0 note=45 velocity=0 time=0
note_on channel=0 note=57 velocity=41 time=0
note_on channel=0 note=30 velocity=38 time=0
note_on channel=0 note=42 velocity=38 time=0
control_change channel=0 control=64 value=0 time=18
control_change channel=0 control=64 value=127 time=79
<meta message set_tempo tempo=1209190 time=63>
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=62 velocity=33 time=0
<meta message set_tempo tempo=1196649 time=80>
<meta message set_tempo tempo=1184366 time=80>
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=66 velocity=28 time=0
<meta message set_tempo tempo=1172333 time=80>
<meta message set_tempo tempo=1160542 time=80>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=57 velocity=38 time=0
note_on channel=0 note=57 velocity=0 time=160
note_on channel=0 note=62 velocity=33 time=0
<meta message set_tempo tempo=1268767 time=160>
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=66 velocity=30 time=0
<meta message set_tempo tempo=1221996 time=160>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=42 velocity=0 time=0
note_on channel=0 note=30 velocity=0 time=0
note_on channel=0 note=56 velocity=38 time=0
note_on channel=0 note=32 velocity=41 time=0
note_on channel=0 note=44 velocity=41 time=0
control_change channel=0 control=64 value=0 time=17
control_change channel=0 control=64 value=127 time=80
note_on channel=0 note=56 velocity=0 time=63
note_on channel=0 note=60 velocity=31 time=0
note_on channel=0 note=60 velocity=0 time=160
note_on channel=0 note=66 velocity=31 time=0
note_on channel=0 note=66 velocity=0 time=160
note_on channel=0 note=56 velocity=35 time=0
control_change channel=0 control=64 value=0 time=37
control_change channel=0 control=64 value=127 time=55
note_on channel=0 note=56 velocity=0 time=68
note_on channel=0 note=61 velocity=30 time=0
note_on channel=0 note=61 velocity=0 time=160
note_on channel=0 note=64 velocity=30 time=0
