<meta message track_name name='Brahms: Intermezzo Opus 117 Nr. 2' time=0>
<meta message copyright text='Copyright © 2010 by Bernd Krueger' time=0>
<meta message text text='Bernd Krueger' time=0>
<meta message text text='Andante non troppo e con molto espressione' time=0>
<meta message text text='Erstellt: 26.10.2010\n' time=0>
<meta message text text='Dauer: 3:47 Minuten\n' time=0>
<meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='Db' time=0>
<meta message set_tempo tempo=1625135 time=0>
program_change channel=0 program=0 time=0
program_change channel=0 program=0 time=0
program_change channel=0 program=0 time=0
<meta message set_tempo tempo=1803969 time=360>
<meta message marker text='Teil 1' time=60>
note_on channel=0 note=73 velocity=38 time=0
<meta message set_tempo tempo=1605136 time=60>
note_on channel=0 note=73 velocity=0 time=0
note_on channel=0 note=72 velocity=42 time=0
note_on channel=0 note=39 velocity=25 time=0
control_change channel=0 control=64 value=127 time=39
note_on channel=0 note=39 velocity=0 time=21
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=66 velocity=27 time=0
<meta message set_tempo tempo=1671309 time=60>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=60 velocity=26 time=0
note_on channel=0 note=60 velocity=0 time=60
note_on channel=0 note=72 velocity=34 time=0
<meta message set_tempo tempo=1605136 time=60>
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=70 velocity=41 time=0
note_on channel=0 note=37 velocity=29 time=0
control_change channel=0 control=64 value=0 time=3
control_change channel=0 control=64 value=127 time=32
note_on channel=0 note=65 velocity=27 time=25
note_on channel=0 note=65 velocity=0 time=60
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=58 velocity=27 time=0
note_on channel=0 note=58 velocity=0 time=60
note_on channel=0 note=52 velocity=28 time=0
control_change channel=0 control=64 value=0 time=12
note_on channel=0 note=70 velocity=0 time=48
note_on channel=0 note=53 velocity=31 time=0
note_on channel=0 note=52 velocity=0 time=10
control_change channel=0 control=64 value=127 time=19
note_on channel=0 note=53 velocity=0 time=31
note_on channel=0 note=58 velocity=20 time=0
note_on channel=0 note=58 velocity=0 time=60
note_on channel=0 note=65 velocity=19 time=0
<meta message set_tempo tempo=1803969 time=60>
note_on channel=0 note=65 velocity=0 time=0
note_on channel=0 note=70 velocity=38 time=0
control_change channel=0 control=64 value=0 time=20
<meta message set_tempo tempo=1605136 time=40>
note_on channel=0 note=72 velocity=42 time=0
note_on channel=0 note=39 velocity=25 time=0
note_on channel=0 note=70 velocity=0 time=20
control_change channel=0 control=64 value=127 time=19
note_on channel=0 note=39 velocity=0 time=21
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=66 velocity=27 time=0
<meta message set_tempo tempo=1755413 time=60>
note_on channel=0 note=66 velocity=0 time=0
note_on channel=0 note=60 velocity=26 time=0
note_on channel=0 note=60 velocity=0 time=60
note_on channel=0 note=72 velocity=43 time=0
<meta message set_tempo tempo=1605136 time=60>
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=77 velocity=47 time=0
note_on channel=0 note=37 velocity=29 time=0
control_change channel=0 control=64 value=0 time=3
control_change channel=0 control=64 value=127 time=32
note_on channel=0 note=70 velocity=27 time=25
note_on channel=0 note=70 velocity=0 time=60
note_on channel=0 note=37 velocity=0 time=0
note_on channel=0 note=65 velocity=27 time=0
note_on channel=0 note=65 velocity=0 time=60
note_on channel=0 note=57 velocity=28 time=0
control_change channel=0 control=64 value=0 time=12
note_on channel=0 note=77 velocity=0 time=48
note_on channel=0 note=58 velocity=31 time=0
note_on channel=0 note=57 velocity=0 time=10
control_change channel=0 control=64 value=127 time=33
note_on channel=0 note=58 velocity=0 time=17
note_on channel=0 note=65 velocity=20 time=0
note_on channel=0 note=65 velocity=0 time=60
note_on channel=0 note=70 velocity=19 time=0
<meta message set_tempo tempo=1694915 time=60>
note_on channel=0 note=70 velocity=0 time=0
note_on channel=0 note=77 velocity=43 time=0
control_change channel=0 control=64 value=0 time=20
control_change channel=0 control=64 value=127 time=37
<meta message set_tempo tempo=1605136 time=3>
note_on channel=0 note=77 velocity=0 time=0
note_on channel=0 note=80 velocity=56 time=0
note_on channel=0 note=34 velocity=25 time=0
note_on channel=0 note=80 velocity=0 time=60
note_on channel=0 note=73 velocity=27 time=0
<meta message set_tempo tempo=1648352 time=60>
note_on channel=0 note=73 velocity=0 time=0
