<meta message track_name name='Das wohltemperierte Klavier I - Praeludium und Fuge 2 in c-Moll BWV 847' time=0>
<meta message copyright text='Copyright © 1997 von Bernd Krüger.' time=0>
<meta message text text='Johann Sebastian Bach' time=0>
<meta message text text='Fertiggestellt am 5.11.97\n' time=0>
<meta message text text="Pan's auf Standard am 18.1.98\n" time=0>
<meta message text text='Normierung: 23.12.2002\n' time=0>
<meta message text text='Update am 26.9.2004\n' time=0>
<meta message text text='Dauer: 3:09 Minuten\n' time=0>
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message key_signature key='Eb' time=0>
<meta message set_tempo tempo=489796 time=0>
<meta message marker text='Prelude' time=0>
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=64 value=0 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
<meta message text text='bdca426d104a26ac9dcb070447587523' time=1>
note_on channel=0 note=72 velocity=96 time=2
note_on channel=0 note=48 velocity=88 time=0
<meta message set_tempo tempo=451128 time=57>
note_on channel=0 note=63 velocity=80 time=61
note_on channel=0 note=55 velocity=73 time=2
note_on channel=0 note=48 velocity=0 time=20
note_on channel=0 note=72 velocity=0 time=0
note_on channel=0 note=62 velocity=77 time=97
note_on channel=0 note=53 velocity=72 time=2
note_on channel=0 note=63 velocity=0 time=19
note_on channel=0 note=55 velocity=0 time=2
<meta message set_tempo tempo=476190 time=97>
note_on channel=0 note=63 velocity=77 time=0
note_on channel=0 note=55 velocity=72 time=2
note_on channel=0 note=62 velocity=0 time=18
note_on channel=0 note=53 velocity=0 time=2
<meta message set_tempo tempo=470588 time=98>
note_on channel=0 note=51 velocity=80 time=1
note_on channel=0 note=60 velocity=80 time=2
note_on channel=0 note=63 velocity=0 time=17
note_on channel=0 note=55 velocity=0 time=2
<meta message set_tempo tempo=452830 time=98>
note_on channel=0 note=55 velocity=72 time=0
note_on channel=0 note=63 velocity=76 time=2
note_on channel=0 note=51 velocity=0 time=19
note_on channel=0 note=60 velocity=0 time=2
note_on channel=0 note=62 velocity=76 time=99
